question_id,answer_text,is_correct
1,Paris,1
1,London,0
1,Berlin,0
1,Rome,0
2,William Shakespeare,1
2,Charles Dickens,0
2,Jane Austen,0
2,Mark Twain,0
3,H2O,1
3,CO2,0
3,NaCl,0
3,O2,0
4,7,1
4,5,0
4,6,0
4,8,0
5,Leonardo da Vinci,1
5,Vincent van Gogh,0
5,Pablo Picasso,0
5,Claude Monet,0
6,8,1
6,6,0
6,9,0
6,7,0
7,1945,1
7,1944,0
7,1946,0
7,1947,0
8,Blue Whale,1
8,Elephant,0
8,Giraffe,0
8,Hippopotamus,0
9,Mars,1
9,Earth,0
9,Venus,0
9,Jupiter,0
10,Neil Armstrong,1
10,Buzz Aldrin,0
10,Yuri Gagarin,0
10,Michael Collins,0
11,Pacific Ocean,1
11,Atlantic Ocean,0
11,Indian Ocean,0
11,Arctic Ocean,0
12,Euclid,1
12,Archimedes,0
12,Isaac Newton,0
12,Pythagoras,0
13,O,1
13,O2,0
13,C,0
13,H,0
14,Photosynthesis,1
14,Respiration,0
14,Transpiration,0
14,Oxidation,0
15,Tokyo,1
15,Kyoto,0
15,Osaka,0
15,Nagoya,0
16,Mount Everest,1
16,K2,0
16,Kangchenjunga,0
16,Lhotse,0
17,Au,1
17,Ag,0
17,G,0
17,Fe,0
18,Skin,1
18,Heart,0
18,Liver,0
18,Brain,0
19,100,1
19,0,0
19,50,0
19,75,0
20,Amazon River,1
20,Nile River,0
20,Yangtze River,0
20,Mississippi River,0
21,81,1
21,72,0
21,64,0
21,49,0
22,Canberra,1
22,Sydney,0
22,Melbourne,0
22,Brisbane,0
23,Albert Einstein,1
23,Isaac Newton,0
23,Niels Bohr,0
23,Galileo Galilei,0
24,Avocado,1
24,Tomato,0
24,Onion,0
24,Potato,0
25,Yen,1
25,Won,0
25,Yuan,0
25,Dollar,0
26,Transpiration,1
26,Photosynthesis,0
26,Respiration,0
26,Evaporation,0
27,Alexander Fleming,1
27,Marie Curie,0
27,Louis Pasteur,0
27,Robert Koch,0
28,NaCl,1
28,NaHCO3,0
28,NaOH,0
28,Na,0
29,299792,1
29,300000,0
29,150000,0
29,299792458,0
30,Harper Lee,1
30,F. Scott Fitzgerald,0
30,George Orwell,0
30,J.D. Salinger,0
31,Jupiter,1
31,Saturn,0
31,Uranus,0
31,Neptune,0
32,Albert Einstein,1
32,Isaac Newton,0
32,Galileo Galilei,0
32,Niels Bohr,0
33,Diamond,1
33,Gold,0
33,Iron,0
33,Silver,0
34,George Washington,1
34,John Adams,0
34,Thomas Jefferson,0
34,James Madison,0
35,Hydrogen,1
35,Oxygen,0
35,Helium,0
35,Carbon,0
36,Cell,1
36,Nucleus,0
36,Atom,0
36,Organelle,0
37,NaCl,1
37,Na,0
37,Cl,0
37,NaH,0
38,Michelangelo,1
38,Leonardo da Vinci,0
38,Raphael,0
38,Donatello,0
39,Portuguese,1
39,Spanish,0
39,English,0
39,French,0
40,Sahara Desert,1
40,Arabian Desert,0
40,Gobi Desert,0
40,Kalahari Desert,0
41,O,1
41,Ox,0
41,Oz,0
41,Om,0
42,Rome,1
42,Venice,0
42,Milan,0
42,Florence,0
43,Femur,1
43,Humurus,0
43,Radius,0
43,Tibia,0
44,Mitochondria,1
44,Nucleus,0
44,Ribosome,0
44,Golgi apparatus,0
45,George Orwell,1
45,Aldous Huxley,0
45,Ray Bradbury,0
45,Kurt Vonnegut,0
46,343,1
46,300,0
46,330,0
46,350,0
47,Joan of Arc,1
47,Marie Antoinette,0
47,Catherine de Medici,0
47,Anne of Brittany,0
48,2,1
48,1,0
48,3,0
48,5,0
49,Fe,1
49,F,0
49,E,0
49,Iron,0
50,Moose,1
50,Deer,0
50,Elk,0
50,Reindeer,0
